348,570,Caribbean Cellular Telephone, Boatphone Ltd.
348,770,Digicel (BVI) Limited
528,1,Jabatan Telekom Brunei
528,2,B-Mobile Communications Sdn Bhd
528,11,DST Com
284,1,M-Tel GSM BG
284,3,BTC Mobile
284,5,Globul
284,6,BTC Mobile
613,1,Onatal
613,2,Celtel Burkina Faso
613,3,Telcel Faso SA
642,1,Econet Wireless Burundi PLC
642,2,Africell PLC
642,3,Onatel
642,7,LACELL SU
642,8,HiTs Telecom
642,82,U-COM Burundi S.A.
456,1,CamGSM
456,2,Telekom Malaysia International (Cambodia) Co. Ltd
456,3,S Telecom (reserved)
456,4,Cambodia Advance Communications Co. Ltd
456,5,Applifone Co. Ltd
456,6,Latelz Co. Ltd
456,8,Viettel
456,9,Sotelco Ltd.
456,11,Excell
456,18,Camshin (Shinawatra)
624,1,Mobile Telephone Networks Cameroon
624,2,Orange Cameroun
302,220,Telus Mobility
302,221,Telus Mobility (Unknown)
302,290,Aurtek Wurekess
302,320,Dave Wireless
302,350,FIRST Networks Operations
302,360,Telus Mobility
302,361,Telus Mobility
302,370,Fido Solutions (Rogers Wireless)
302,380,Dryden Mobility
302,490,Globalive Communications
302,500,Videotron
302,510,Videotron
302,610,Bell Mobility
302,620,ICE Wireless
302,640,Bell Mobility
302,651,Bell Mobility
302,652,BC Tel Mobility
302,653,Telus Mobility
302,654,Sask Tel Mobility
302,655,MTS Mobility
302,656,Thunder Bay Telephone Mobility
302,657,Telus Mobility
302,680,SaskTel Mobility
302,701,MB Tel Mobility
302,702,MT&T Mobility (Aliant)
302,703,New Tel Mobility (Aliant
302,710,Globalstar Canada
302,720,Rorges Communications
302,780,SaskTel Mobility
302,880,Shared Telus, Bell, and SaskTel
625,1,CVMovel, S.A.
625,2,T+Telecomunicaçôes
346,50,Digicel Cayman Ltd.
346,140,Cable & Wireless (Cayman) Limited
623,1,Atlantique Telecom Centrafrique SA
623,2,Telecel Centrafrique (TC)
623,3,Orange RCA
623,4,Nationlink Telecom RCA
622,1,CelTel Tchad SA
622,2,Tchad Mobile
622,3,Millicom Tchad
622,4,Sotel Mobile
730,1,Entel PCS Telecomunicaciones S.A.
730,2,Telefónica Móvil de Chile
730,3,Claro Chile S.A.
730,4,Centennial Cayman Corp. Chile S.A.
730,5,VTW S.A.
730,9,Centennial Cayman Corp. Chile
